,Country,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00
1,Austria,25016.0,20110.0,30052.0,31939.0,28503.0,27315.0,27970.0,20337.0,24459.0,26412.0,21151.0,16857.0
2,Belgium,50156.0,43513.0,48077.0,43326.0,37112.0,39839.0,35115.0,28817.0,34234.0,42291.0,30059.0,26257.0
3,Denmark,6693.0,6870.0,7951.0,7754.0,8940.0,8992.0,8083.0,7160.0,7922.0,8030.0,8258.0,9425.0
4,Finland,14036.0,11048.0,11908.0,12970.0,14785.0,14691.0,13509.0,12663.0,11371.0,13004.0,10380.0,6857.0
5,France,175107.0,159385.0,187159.0,180784.0,161779.0,204946.0,187287.0,103055.0,155410.0,184643.0,149236.0,160455.0
6,Germany,237778.0,230417.0,318659.0,287350.0,304953.0,299174.0,288084.0,228001.0,285208.0,269124.0,256205.0,231985.0
7,Greece,29858.0,20119.0,20176.0,23779.0,22736.0,24552.0,25938.0,18586.0,15385.0,23499.0,17834.0,14831.0
8,Ireland,32653.0,19574.0,17827.0,15678.0,14839.0,11209.0,13209.0,6819.0,5957.0,4899.0,1779.0,780.0
9,Italy,210582.0,212567.0,272215.0,183784.0,184855.0,190136.0,219442.0,89732.0,181015.0,190100.0,170131.0,142460.0
10,Luxembourg,3177.0,4669.0,5179.0,5261.0,4013.0,3415.0,3735.0,2427.0,2953.0,3757.0,2768.0,2266.0
11,Netherlands,68883.0,38727.0,44725.0,39652.0,45339.0,50363.0,40723.0,36377.0,42484.0,38132.0,32035.0,11401.0
12,Portugal,14951.0,15098.0,17721.0,17064.0,16861.0,17970.0,20340.0,11955.0,13170.0,13828.0,14709.0,16125.0
13,Spain,90541.0,98254.0,120753.0,120406.0,120649.0,138243.0,161545.0,82407.0,92528.0,120823.0,109711.0,126249.0
14,Sweden,19162.0,19261.0,25190.0,23664.0,25606.0,24560.0,18168.0,17585.0,21879.0,24889.0,20258.0,20984.0
15,United Kingdom,186769.0,88096.0,438075.0,194312.0,200059.0,240174.0,196762.0,89338.0,439365.0,181589.0,169059.0,155452.0
16,EU-151,1165362.0,987708.0,1565667.0,1187723.0,1191029.0,1295579.0,1259910.0,755259.0,1333340.0,1145020.0,1013573.0,942384.0
